address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
Pier Ave APT D,Santa Monica,CA,90405,761000,994.0,2.0,2.0,444,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/116777211_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
2454 Ocean Park Blvd,Santa Monica,CA,90405,1075000,1178.0,3.0,2.0,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/2454-Ocean-Park-Blvd-Santa-Monica-CA-90405/20472753_zpid/
110 Ocean Park Blvd APT 502,Santa Monica,CA,90405,3650000,1800.0,2.0,2.0,30,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/110-Ocean-Park-Blvd-APT-502-Santa-Monica-CA-90405/20483913_zpid/
Yorkshire Ave,Santa Monica,CA,90404,NA,1001.0,3.0,1.0,583,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/127225431_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
20th St,Santa Monica,CA,90404,1050000,1326.0,2.0,2.0,262,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/116774375_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
535 Ocean Ave UNIT 11C,Santa Monica,CA,90402,2650000,1585.0,2.0,2.0,35,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/535-Ocean-Ave-UNIT-11C-Santa-Monica-CA-90402/20486446_zpid/
Virginia Ave,Santa Monica,CA,90404,1310000,1905.0,3.0,2.0,185,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/117509820_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
1144 17th St APT 14,Santa Monica,CA,90403,1099000,1510.0,3.0,3.0,43,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/1144-17th-St-APT-14-Santa-Monica-CA-90403/2144453942_zpid/
19 Seaview Ter,Santa Monica,CA,90401,4599000,2500.0,4.0,3.0,42,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/19-Seaview-Ter-Santa-Monica-CA-90401/20484728_zpid/
1824 20th St APT A,Santa Monica,CA,90404,465000,573.0,0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1824-20th-St-APT-A-Santa-Monica-CA-90404/20473574_zpid/
1334 19th St APT 4,Santa Monica,CA,90404,998000,1414.0,2.0,3.0,213,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1334-19th-St-APT-4-Santa-Monica-CA-90404/20474723_zpid/
723 Palisades Beach Rd UNIT 107,Santa Monica,CA,90402,1575000,1072.0,2.0,2.0,157,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/723-Palisades-Beach-Rd-UNIT-107-Santa-Monica-CA-90402/20485821_zpid/
