address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
1113 24th St,Santa Monica,CA,90403,1995000,NA,4.0,3.0,6,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1113-24th-St-Santa-Monica-CA-90403/2098029479_zpid/
1225 Washington Ave APT 3,Santa Monica,CA,90403,639000,589.0,1.0,1.0,7,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1225-Washington-Ave-APT-3-Santa-Monica-CA-90403/20478675_zpid/
2311 4th St APT 310,Santa Monica,CA,90405,925000,979.0,2.0,2.0,8,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2311-4th-St-APT-310-Santa-Monica-CA-90405/20484219_zpid/
628 20th St,Santa Monica,CA,90402,3695000,3063.0,5.0,2.5,8,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/628-20th-St-Santa-Monica-CA-90402/20476600_zpid/
415 23rd St,Santa Monica,CA,90402,3795000,3100.0,3.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/415-23rd-St-Santa-Monica-CA-90402/20476050_zpid/
900 Euclid St APT 108,Santa Monica,CA,90403,1200000,1384.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/900-Euclid-St-APT-108-Santa-Monica-CA-90403/20478588_zpid/
2602 25th St,Santa Monica,CA,90405,1969000,1838.0,4.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2602-25th-St-Santa-Monica-CA-90405/20473096_zpid/
1756 Franklin St,Santa Monica,CA,90404,1725000,3180.0,5.0,5.0,7,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/1756-Franklin-St-Santa-Monica-CA-90404/2094358620_zpid/
621 Marguerita Ave,Santa Monica,CA,90402,12495000,6500.0,6.0,9.0,10,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/621-Marguerita-Ave-Santa-Monica-CA-90402/20486225_zpid/
1610 Broadway,Santa Monica,CA,90404,9125000,11211.0,15.0,16.0,22,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/1610-Broadway-Santa-Monica-CA-90404/2106454742_zpid/
2215 Dewey St,Santa Monica,CA,90405,3850000,4500.0,5.0,5.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2215-Dewey-St-Santa-Monica-CA-90405/2111948923_zpid/
1238 12th St UNIT 4,Santa Monica,CA,90401,899000,1265.0,2.0,3.0,15,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1238-12th-St-UNIT-4-Santa-Monica-CA-90401/20479485_zpid/
438 11th St,Santa Monica,CA,90402,3269000,2000.0,3.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/438-11th-St-Santa-Monica-CA-90402/20477675_zpid/
817 12th St,Santa Monica,CA,90403,6400000,10639.0,0.0,NA,24,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/817-12th-St-Santa-Monica-CA-90403/2094590790_zpid/
333 17th St,Santa Monica,CA,90402,6500000,4900.0,5.0,7.0,NA,Coming Soon,http://www.zillow.com/homes/for_sale//homedetails/333-17th-St-Santa-Monica-CA-90402/20476895_zpid/
1440 23rd St APT 116,Santa Monica,CA,90404,539000,637.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1440-23rd-St-APT-116-Santa-Monica-CA-90404/20473990_zpid/
26 Arcadia Ter,Santa Monica,CA,90401,5757750,4265.0,6.0,6.0,28,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/26-Arcadia-Ter-Santa-Monica-CA-90401/20484705_zpid/
820 4th St APT 1,Santa Monica,CA,90403,4250000,9282.0,16.0,14.0,29,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/820-4th-St-APT-1-Santa-Monica-CA-90403/2094627028_zpid/
2427 Centinela Ave APT H,Santa Monica,CA,90405,468000,630.0,1.0,1.0,13,Auction,http://www.zillow.com/homes/for_sale//homedetails/2427-Centinela-Ave-APT-H-Santa-Monica-CA-90405/20471714_zpid/
Centinela Ave APT H,Santa Monica,CA,90405,NA,630.0,1.0,1.0,23,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/128644073_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
1840 17th St,Santa Monica,CA,90404,1899000,1000.0,3.0,1.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1840-17th-St-Santa-Monica-CA-90404/20480125_zpid/
721 Cedar St UNIT A,Santa Monica,CA,90405,779000,994.0,2.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/721-Cedar-St-UNIT-A-Santa-Monica-CA-90405/20482323_zpid/
920 Alta Ave,Santa Monica,CA,90402,6395000,6274.0,6.0,7.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/920-Alta-Ave-Santa-Monica-CA-90402/2096799825_zpid/
238 19th St,Santa Monica,CA,90402,6500000,4900.0,5.0,7.0,NA,Coming Soon,http://www.zillow.com/homes/for_sale//homedetails/238-19th-St-Santa-Monica-CA-90402/20476698_zpid/
1811 34th St,Santa Monica,CA,90404,1175000,1213.0,3.0,1.0,11,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1811-34th-St-Santa-Monica-CA-90404/20471260_zpid/
2911 4th St APT 117,Santa Monica,CA,90405,1395000,1629.0,4.0,3.0,24,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/2911-4th-St-APT-117-Santa-Monica-CA-90405/20483085_zpid/
1705 Ocean Ave UNIT 314,Santa Monica,CA,90401,2799000,1609.0,2.0,3.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1705-Ocean-Ave-UNIT-314-Santa-Monica-CA-90401/2097304381_zpid/
515 Ocean Ave UNIT 501S,Santa Monica,CA,90402,3250000,1865.0,2.0,3.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/515-Ocean-Ave-UNIT-501S-Santa-Monica-CA-90402/2094576749_zpid/
1755 Ocean Ave APT 505,Santa Monica,CA,90401,1850000,1054.0,1.0,1.0,25,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1755-Ocean-Ave-APT-505-Santa-Monica-CA-90401/2103898721_zpid/
1963 17th St,Santa Monica,CA,90404,2250000,4408.0,0.0,NA,29,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/1963-17th-St-Santa-Monica-CA-90404/2094636550_zpid/
459 22nd St,Santa Monica,CA,90402,4995000,4251.0,4.0,5.0,21,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/459-22nd-St-Santa-Monica-CA-90402/20476165_zpid/
211 17th St,Santa Monica,CA,90402,3995000,3025.0,4.0,4.0,14,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/211-17th-St-Santa-Monica-CA-90402/20476916_zpid/
201 Ocean Ave UNIT 809B,Santa Monica,CA,90402,3300000,1562.0,3.0,3.0,10,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/201-Ocean-Ave-UNIT-809B-Santa-Monica-CA-90402/20487148_zpid/
212 Marine St UNIT 205,Santa Monica,CA,90405,1997500,1660.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/212-Marine-St-UNIT-205-Santa-Monica-CA-90405/82750007_zpid/
838 16th St APT 9,Santa Monica,CA,90403,1795000,1440.0,2.0,3.0,30,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/838-16th-St-APT-9-Santa-Monica-CA-90403/67420575_zpid/
402 Pacific St,Santa Monica,CA,90405,4190000,3780.0,6.0,6.0,23,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/402-Pacific-St-Santa-Monica-CA-90405/2102445408_zpid/
528 16th St,Santa Monica,CA,90402,4250000,3411.0,4.0,4.0,14,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/528-16th-St-Santa-Monica-CA-90402/20477097_zpid/
1927 Cloverfield Blvd,Santa Monica,CA,90404,3500000,4856.0,7.0,6.0,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/1927-Cloverfield-Blvd-Santa-Monica-CA-90404/2094619149_zpid/
718 Euclid St,Santa Monica,CA,90402,3399000,3129.0,6.0,3.5,16,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/718-Euclid-St-Santa-Monica-CA-90402/92345675_zpid/
201 Ocean Ave UNIT 1610P,Santa Monica,CA,90402,NA,1325.0,2.0,1.0,1275,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/201-Ocean-Ave-UNIT-1610P-Santa-Monica-CA-90402/20487063_zpid/
808 # 2 5th St # 2,Santa Monica,CA,90403,401900,629.0,1.0,1.0,62,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/808-2-5th-St-2-Santa-Monica-CA-90403/2095005508_zpid/
Ocean Ave UNIT 1409B,Santa Monica,CA,90402,NA,1562.0,3.0,3.0,422,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/118990030_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
110 Larkin Pl,Santa Monica,CA,90402,11000000,3697.0,4.0,5.0,443,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/110-Larkin-Pl-Santa-Monica-CA-90402/20477359_zpid/
0 Montana Ave,Santa Monica,CA,90403,8000000,NA,NA,NA,105,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/0-Montana-Ave-Santa-Monica-CA-90403/2095518614_zpid/
1255 Palisades Beach Rd,Santa Monica,CA,90401,5995000,3197.0,3.0,4.0,115,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1255-Palisades-Beach-Rd-Santa-Monica-CA-90401/20484767_zpid/
